Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-February-2018,625.00,627.00,610.00,611.95,616.910346194503171247,15136,759,9337555.00,6078,40.16,17.00,-13.05
1-February-2018,638.00,642.00,615.05,630.55,623.749312889238737502,302353,1702,188592476.00,272180,90.02,26.95,-7.45
31-January-2018,674.90,676.50,627.05,633.70,650.057188987083616587,82376,3181,53549111.00,38157,46.32,49.45,-41.20
30-January-2018,689.00,689.00,667.20,674.90,675.481830561926605504,27904,883,18848645.00,16051,57.52,21.80,-14.10
29-January-2018,695.00,702.60,681.00,688.60,689.831479037023068703,15909,847,10974529.00,5038,31.67,21.60,-6.40
25-January-2018,716.20,724.80,698.00,706.85,705.236026572988765608,28751,1261,20276241.00,11705,40.71,26.80,-9.35
24-January-2018,714.95,716.20,702.00,710.10,709.449627138470536628,13678,602,9703852.00,4056,29.65,14.20,-4.85
23-January-2018,718.00,718.90,712.65,714.90,714.878798755683177793,8358,249,5974957.00,5088,60.88,6.25,-3.10
22-January-2018,718.20,739.40,708.40,717.30,715.703989859358966620,16567,550,11857068.00,6061,36.58,31.00,-0.90
19-January-2018,714.25,720.10,708.00,715.70,713.252015461071231363,9055,527,6458497.00,1445,15.96,12.10,1.45
18-January-2018,725.00,728.00,711.40,718.25,719.786088780146801817,11444,547,8237232.00,2587,22.61,16.60,-6.75
17-January-2018,726.30,730.95,708.70,722.90,720.977213729449091433,10401,426,7498884.00,2099,20.18,22.25,-3.40
16-January-2018,740.00,740.00,720.50,726.20,728.124184859654096966,10581,446,7704282.00,3350,31.66,19.50,-13.80
15-January-2018,743.10,743.10,734.00,736.35,737.897646790038839387,8754,433,6459556.00,1738,19.85,9.10,-6.75
12-January-2018,745.00,748.15,730.00,738.30,741.369882550335570469,11920,467,8837129.00,2126,17.84,18.15,-6.70
11-January-2018,747.25,755.95,739.15,744.20,748.029265134347685335,15445,587,11553312.00,5521,35.75,16.80,-3.05
